Datum,Meldung
2015-03-19,Stellenausschreibung: W2-Professur für Medienökologie an der Universität Potsdam
2015-03-19,Stellenausschreibung: Studienkoordinator/in an der Universität Bayreuth
2015-03-19,"Stellenausschreibung: Acht Stellen am GRK 1769 ""Locating Media"" der Universität Siegen"
2015-03-19,"Stellenausschreibung: Wissenschaftliche/r Mitarbeiter am GRK 1769 ""Locating Media"" der Universität Siegen"
2015-03-19,"Veranstaltung: Der Schlagerfilm im Kontext seiner Zeit (Kiel, 24.-.25.03.15)"
2015-03-26,"Veranstaltung: #Selfie - Imag(in)ing The Self In Digital Media (Marburg, 23.-24.04.15)"
2015-03-26,"CFP: Rilke-Rezeption intermedial (London, 16.-18.09.15 // 01.05.15)"
2015-03-26,"CFP: Standards, Disruptions and Values in Digital Culture and Communication (26.-28.11.15 // 11.05.15)"
2015-03-26,Stellenausschreibung: W3-Professur Bildorientierte Medientechnologien / Technical Direction
2015-03-26,"Stellenausschreibung: W1-Professur für Medien, Kultur und Kommunikation an der Europa-Universität Viadrina Frankfurt (Oder)"
2015-03-26,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Universität Siegen
2015-03-26,Stellenausschreibung: Lehrstuhl für Kulturtheorie und Kulturanalyse an der Zeppelin Universität
2015-03-26,Stellenausschreibung: Universitätsprofessur für Digital Humanities an der Universität Wien
2015-03-26,"Veranstaltung: Methoden der Fernsehwissenschaft (Düsseldorf, 10.04.15)"
2015-03-26,Stellenausschreibung: Wissenschaftliche Mitarbeiter/innen an der Universität Siegen
2015-03-26,Stellenausschreibung: W1-Juniorprofessur für Digitale Medienkultur an der Universität Leipzig
2015-03-26,Stellenausschreibung: Universitätsprofessur für Kulturgeschichte audiovisueller Medien an der Universität Wien
2015-03-26,"Veranstaltung: The Mediality and Materiality of Contemporary Comics - Workshops der AG-Comicforschung der GfM (Tübingen, 24.-26.04.15)"
2015-04-02,"CFP: Transformações: Mediale und transkulturelle Umbrüche in der lusophonen Populärmusik (Aachen, 16.-19.09.2015 // o.A.)"
2015-04-02,Stellenausschreibung: Two Lecturer in Media and Creative Industries at Loughborough University in London
2015-04-02,"Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in im Projekt ""History and Epistemology of the Problematic"" an der Leuphana Universität Lüneburg"
2015-04-02,Stellenausschreibung: Postdoc Media and Journalism Studies: Media Use and News Preferences at University Of Groningen
2015-04-02,"Stellenausschreibung: 15 Promotionsstipendien im Doktorandenkolleg ""Geisteswissenschaften"" der Universität Hamburg"
2015-04-02,"Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in im Projekt ""Sustainability thinking and the cybernetic imaginary"" an der Leuphana Universität Lüneburg"
2015-04-02,Stellenausschreibung: Assistant Professors Media Studies/Journalism Studies at University Of Groningen
2015-04-02,CFP: What is Portuguese Cinema? (30.06.15)
2015-04-02,CFP: Verwandlung (20.04.15)
2015-04-02,"Veranstaltung: Das Unheimliche, Gespenstische und Spukhafte (Bamberg, 17.-19.04.15)"
2015-04-02,"Veranstaltung: Kontext Kino - Werkstattgespräche zu Orten und Perspektiven der Filmkultur (Frankfurt am Main, 17.04.-17.07.15)"
2015-04-10,"Stellenausschreibung: Zwei Wissenschaftliche Mitarbeiter/innen im Forschungsnetzwerk ""Re-Konfigurationen. Geschichte, Erinnerung und Transformationsprozesse im Mittleren Osten und Nordafrika"" in Marburg"
2015-04-10,"CFP: Trans-l Encounters: Religious Education and Islamic Popular Culture in Asia and the Middle East (Marburg, 26.-28.05.16 // 01.10.15)"
2015-04-10,"Veranstaltung: Kulturtechniken des Gebets (Lüneburg, 22.04.15)"
2015-04-10,"Veranstaltung: Precarious Identities: Poison and Poisoning in Science and Film (Braunschweig, 21.-23.05.15)"
2015-04-10,"Veranstaltung: Un/Stable Infrastructures (Lüneburg, 14.04.-08.07.15)"
2015-04-10,"Veranstaltung: Spectres of Justice: The Aesthetics of Dealing with Violent Pasts (Marburg, 28.-30.05.15)"
